iter	MultiClass
0	1.058364045
1	1.027006664
2	1.001173741
3	0.9798108508
4	0.9622956818
5	0.9476262473
6	0.9353910706
7	0.9250741332
8	0.9165184213
9	0.9088900747
10	0.9024106692
11	0.8968104677
12	0.8921389448
13	0.8880205909
14	0.8847395641
15	0.8819829644
16	0.8791500647
17	0.8770040016
18	0.8749993031
19	0.8729586342
20	0.8712100709
21	0.8698658536
22	0.8685624149
23	0.8673920568
24	0.8662221763
25	0.8651139151
26	0.8641531591
27	0.8630815844
28	0.862249632
29	0.8615217239
30	0.8609365638
31	0.8601421722
32	0.8594281778
33	0.8588886892
34	0.8583762934
35	0.8577754096
36	0.85724314
37	0.8568336392
38	0.8563977915
39	0.8560167991
40	0.8557157757
41	0.8552525428
42	0.8547867131
43	0.8543562407
44	0.8540464236
45	0.8536316719
46	0.8533632266
47	0.8530841769
48	0.85281774
49	0.8525039975
50	0.8519629501
51	0.8515893117
52	0.8513603491
53	0.8510087773
54	0.8508283572
55	0.8505466333
56	0.8502905642
57	0.850087015
58	0.8498501894
59	0.8494899557
60	0.8493177078
61	0.8491428334
62	0.8489899724
63	0.8487989787
64	0.8485448027
65	0.8483909807
66	0.8482060424
67	0.8481177788
68	0.8478990941
69	0.847704937
70	0.8473286441
71	0.8471528199
72	0.8469517967
73	0.8467541942
74	0.8465113079
75	0.8463424659
76	0.8461476312
77	0.8459067829
78	0.8456488056
79	0.8455265743
80	0.8453879739
81	0.8452583184
82	0.8451090735
83	0.8448597399
84	0.8446548181
85	0.8445258712
86	0.8443639859
87	0.8442818204
88	0.844196291
89	0.8440870181
90	0.8440088379
91	0.8436807494
92	0.8435689932
93	0.8434558843
94	0.843252979
95	0.8431097927
96	0.8430260749
97	0.8429020822
98	0.8427761278
99	0.8426932558
100	0.8425479223
101	0.8424279273
102	0.8423167118
103	0.84217631
104	0.841977774
105	0.8419044323
106	0.8418099092
107	0.8416809045
108	0.8416154346
109	0.8415297418
110	0.8414193674
111	0.8413190219
112	0.8411741695
113	0.8410827057
114	0.8409579998
115	0.8409159411
116	0.8408012006
117	0.84068275
118	0.8405785935
119	0.8404843818
120	0.8404096285
121	0.8403126181
122	0.8402223488
123	0.8401084908
124	0.8400339416
125	0.8399624566
126	0.839827872
127	0.8397764446
128	0.839714112
129	0.839631239
130	0.8395801222
131	0.8394723183
132	0.8393998752
133	0.8393472551
134	0.8392716975
135	0.8391840762
136	0.839101263
137	0.8390048317
138	0.8388699708
139	0.8388014567
140	0.838692796
141	0.8386212612
142	0.8385360519
143	0.8384196533
144	0.8382690738
145	0.8382255084
146	0.8381736065
147	0.8380347799
148	0.8379717847
149	0.837893275
150	0.8378474514
151	0.8377264111
152	0.8376527926
153	0.8375484208
154	0.8374901468
155	0.8373968974
156	0.8373114057
157	0.8372579236
158	0.8371883203
159	0.8370997516
160	0.8370224151
161	0.8369131751
162	0.8368135683
163	0.836777883
164	0.8367211009
165	0.8366562371
166	0.8365731366
167	0.8365006706
168	0.8363962273
169	0.8363407623
170	0.8362944096
171	0.8362443281
172	0.8361993153
173	0.8361326583
174	0.8360957513
175	0.8360326566
176	0.8359483577
177	0.8359150489
178	0.8357623351
179	0.8357161501
180	0.8356378329
181	0.835574512
182	0.8355079298
183	0.835456703
184	0.8353978316
185	0.8353240164
186	0.8352515287
187	0.8351976848
188	0.8351392796
189	0.8350718189
190	0.834982709
191	0.8349014866
192	0.8348381532
193	0.8348016638
194	0.8347142191
195	0.834657236
196	0.8346013353
197	0.8345444307
198	0.8345092354
199	0.8344814593
200	0.8344413201
201	0.8344132657
202	0.8343499011
203	0.8343160507
204	0.8342584159
205	0.8341974152
206	0.8341748764
207	0.8341452693
208	0.8340632049
209	0.8340292334
210	0.8339886219
211	0.8339168046
212	0.8338624354
213	0.833814433
214	0.8336798824
215	0.8336334409
216	0.8335348582
217	0.8334899354
218	0.8334381096
219	0.8334076295
220	0.8333714464
221	0.833336298
222	0.8332752409
223	0.8332310387
224	0.8332048547
225	0.8331724657
226	0.8331238847
227	0.833065994
228	0.8330340539
229	0.8329695601
230	0.8329378569
231	0.832894122
232	0.8328556967
233	0.8328001255
234	0.8327619943
235	0.8326813887
236	0.8326486558
237	0.8326101949
238	0.8325663843
239	0.8325040698
240	0.8324836245
241	0.8324476423
242	0.8323793292
243	0.8323542819
244	0.8323168024
245	0.8322510504
246	0.8322241917
247	0.832151448
248	0.8320812091
249	0.832039747
250	0.83193195
251	0.831894007
252	0.8318385549
253	0.8317874379
254	0.8317230701
255	0.8316785595
256	0.8316177918
257	0.8316004243
258	0.8315635232
259	0.8314839957
260	0.8314510908
261	0.8314158996
262	0.8313879525
263	0.8313660554
264	0.8313374346
265	0.8313155139
266	0.831292123
267	0.831235606
268	0.8312007492
269	0.8311686481
270	0.8311411274
271	0.8310743062
272	0.8310472205
273	0.831021117
274	0.8310006418
275	0.8309736445
276	0.8309401222
277	0.8308912081
278	0.8308650798
279	0.8308260768
280	0.8308032312
281	0.8307728972
282	0.830738007
283	0.830714474
284	0.8306668542
285	0.830612738
286	0.8305880702
287	0.830551546
288	0.830527729
289	0.8304915755
290	0.8304653743
291	0.8304482972
292	0.8304135985
293	0.8303725642
294	0.8303283574
295	0.8302871356
296	0.8302624
297	0.8302272748
298	0.8301805724
299	0.8301338557
