iter	Passed	Remaining
0	214	64222
1	347	51830
2	477	47256
3	606	44885
4	734	43353
5	865	42396
6	989	41401
7	1113	40651
8	1245	40260
9	1362	39513
10	1489	39124
11	1624	38998
12	1760	38857
13	1885	38526
14	2014	38268
15	2139	37973
16	2269	37774
17	2397	37558
18	2530	37425
19	2653	37143
20	2781	36953
21	2915	36846
22	3046	36686
23	3172	36479
24	3295	36251
25	3419	36040
26	3546	35858
27	3679	35745
28	3810	35605
29	3934	35408
30	4069	35316
31	4204	35213
32	4334	35072
33	4458	34879
34	4583	34705
35	4709	34538
36	4829	34327
37	4961	34209
38	5084	34024
39	5215	33902
40	5335	33704
41	5460	33540
42	5583	33368
43	5709	33220
44	5841	33099
45	5960	32913
46	6079	32727
47	6205	32578
48	6334	32448
49	6457	32285
50	6579	32124
51	6710	32004
52	6834	31849
53	6963	31722
54	7085	31562
55	7207	31402
56	7330	31252
57	7449	31082
58	7573	30934
59	7692	30770
60	7808	30592
61	7927	30433
62	8055	30305
63	8175	30147
64	8301	30013
65	8427	29879
66	8548	29727
67	8673	29591
68	8800	29462
69	8924	29324
70	9050	29189
71	9169	29035
72	9292	28895
73	9420	28770
74	9547	28642
75	9672	28507
76	9797	28375
77	9922	28240
78	10050	28117
79	10173	27977
80	10294	27834
81	10414	27686
82	10541	27560
83	10671	27441
84	10798	27314
85	10925	27187
86	11051	27056
87	11171	26914
88	11301	26793
89	11420	26648
90	11545	26515
91	11669	26383
92	11794	26252
93	11924	26132
94	12051	26005
95	12177	25876
96	12300	25742
97	12421	25603
98	12540	25461
99	12672	25345
100	12793	25206
101	12918	25076
102	13036	24934
103	13159	24801
104	13289	24679
105	13409	24542
106	13556	24451
107	13675	24312
108	13802	24186
109	13926	24055
110	14053	23928
111	14178	23800
112	14303	23670
113	14432	23547
114	14554	23413
115	14676	23279
116	14800	23149
117	14927	23023
118	15053	22895
119	15179	22769
120	15303	22639
121	15423	22503
122	15536	22357
123	15654	22219
124	15774	22084
125	15887	21939
126	16008	21807
127	16129	21674
128	16243	21531
129	16372	21410
130	16497	21283
131	16619	21152
132	16741	21021
133	16866	20894
134	16987	20763
135	17104	20626
136	17233	20504
137	17362	20381
138	17490	20259
139	17616	20132
140	17746	20011
141	17867	19880
142	17992	19753
143	18126	19636
144	18247	19506
145	18363	19369
146	18486	19240
147	18611	19114
148	18742	18993
149	18872	18872
150	18996	18745
151	19117	18614
152	19240	18486
153	19370	18363
154	19493	18236
155	19626	18116
156	19754	17992
157	19884	17871
158	20005	17740
159	20124	17608
160	20250	17482
161	20375	17356
162	20501	17231
163	20626	17105
164	20750	16977
165	20869	16846
166	20985	16712
167	21116	16591
168	21240	16464
169	21369	16341
170	21491	16212
171	21617	16087
172	21741	15960
173	21863	15831
174	21983	15702
175	22113	15580
176	22239	15454
177	22360	15325
178	22481	15196
179	22608	15072
180	22723	14939
181	22848	14814
182	22975	14689
183	23101	14563
184	23218	14432
185	23348	14310
186	23474	14185
187	23590	14054
188	23711	13926
189	23831	13797
190	23953	13669
191	24075	13542
192	24200	13416
193	24320	13288
194	24446	13163
195	24571	13037
196	24695	12911
197	24822	12787
198	24946	12661
199	25067	12533
200	25188	12406
201	25312	12280
202	25433	12152
203	25561	12028
204	25688	11904
205	25813	11778
206	25936	11652
207	26056	11525
208	26197	11406
209	26317	11278
210	26439	11152
211	26555	11022
212	26675	10895
213	26801	10770
214	26930	10646
215	27051	10519
216	27175	10394
217	27300	10268
218	27422	10142
219	27543	10015
220	27668	9890
221	27788	9763
222	27911	9637
223	28039	9513
224	28159	9386
225	28286	9261
226	28405	9134
227	28537	9011
228	28660	8886
229	28779	8759
230	28907	8634
231	29036	8510
232	29161	8385
233	29279	8258
234	29405	8133
235	29540	8010
236	29662	7884
237	29793	7761
238	29922	7637
239	30042	7510
240	30164	7384
241	30290	7259
242	30419	7135
243	30540	7009
244	30660	6882
245	30799	6760
246	30916	6634
247	31039	6508
248	31156	6381
249	31271	6254
250	31381	6126
251	31495	5999
252	31617	5873
253	31740	5748
254	31860	5622
255	31977	5496
256	32098	5370
257	32210	5243
258	32315	5115
259	32437	4990
260	32546	4863
261	32664	4737
262	32775	4611
263	32883	4484
264	33000	4358
265	33111	4232
266	33222	4106
267	33332	3980
268	33442	3853
269	33556	3728
270	33674	3603
271	33792	3478
272	33904	3353
273	34020	3228
274	34138	3103
275	34248	2978
276	34354	2852
277	34471	2727
278	34581	2602
279	34696	2478
280	34814	2354
281	34925	2229
282	35044	2105
283	35154	1980
284	35266	1856
285	35396	1732
286	35514	1608
287	35627	1484
288	35751	1360
289	35865	1236
290	35976	1112
291	36114	989
292	36234	865
293	36348	741
294	36473	618
295	36602	494
296	36728	370
297	36867	247
298	37013	123
299	37150	0
